רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
" לפי תוצאות הבחירות לכנסת ה-20, שנערכו בשנת 2015",,,,,,
מס',רמת הומוגניות חרדית ,שם יישוב,סמל יישוב,סמל אזור סטטיסטי,פירוט גאוגרפי,רמה מקובצת של הומוגניות חרדית - בחירות 13
54,1,ירושלים,3000,425,"הרב שבתאי חזקיה, ולנשטיין, קהילת אונגוואר, ועד ארבע הארצות, מירסקי יצחק",1
55,1,ירושלים,3000,426,"מירסקי יצחק, מינץ, הרב שיף אברהם, הרב רובין, שד גולדה מאיר",1
56,1,ירושלים,3000,512,"שפע חיים, אבן האזל, עזרת תורה, שד גבעת משה",1
57,1,ירושלים,3000,513,"בר אילן, חנה, ירמיהו, שד גבעת משה, עלי הכהן",1
58,1,ירושלים,3000,514,"אהלי יוסף, בר אילן, שד גבעת משה, עלי הכהן, שמואל הנביא",1
59,1,ירושלים,3000,515,"הרב בלוי, ים סוף, שאול המלך, שמואל הנביא, אחינעם",1
60,1,ירושלים,3000,521,"מעגלי הרי""ם לוין, מעלות דושינסקי, ים סוף, האדמו""ר מויז'ניץ, האדמו""ר מגור",1
61,1,ירושלים,3000,821,"שבטי ישראל, מאה שערים, בהרן שלמה זלמן, עין יעקב, שטראוס",1
62,1,ירושלים,3000,824,"רבנו גרשום, יחזקאל, רחובות הבוכרים, תלמודי אברהם, בר אילן",1
63,1,ירושלים,3000,825,"אבינועם ילין, חגי, יחזקאל, מאה שערים, מלכי ישראל",1
64,1,ירושלים,3000,826,"מלכי ישראל, בר אילן, יחזקאל, מלאכי, צפניה",1
65,1,ירושלים,3000,832,"מלכי ישראל, שרי ישראל, רש""י, החשמונאים, יפו",1
66,1,ירושלים,3000,834,"תחכמוני, בר גיורא, יוסף בן מתתיהו, רש""י, מלכי ישראל",1
67,1,ירושלים,3000,835,"יוסף בן מתתיהו, יעקב מאיר, מלכי ישראל, אשתורי הפרחי, רש""י",1
68,1,ירושלים,3000,911,"אמרי בינה, משיב מנחם, זית רענן, סורוצקין, תורת חסד",1
69,1,ירושלים,3000,912,"שמגר, דברי חיים, סורוצקין, קדושת אהרון, דובר שלום",1
70,1,ירושלים,3000,913,"פתח תקוה, הרב יוסף גבאי, מענה שימחה, סורוצקין, פנים מאירות",1
71,1,ירושלים,3000,914,"יפו, מלכי ישראל, שמגר, שרי ישראל, ירמיהו",1
72,1,ירושלים,3000,915,"פנים מאירות, מענה שימחה, ירמיהו, זכרון יעקב, המ""ג",1
73,1,ירושלים,3000,931,"הרב שאולזון, האדמו""ר מבויאן, הרב טייב חי, האדמו""ר מרוז'ין",2
74,1,ירושלים,3000,932,"הרב קצנלבוגן רפאל, הקבלן, הרב שאולזון, אגסי שמעון, מנחם מנדל משקלוב",1
75,1,ירושלים,3000,933,"הרב שפרבר דוד, הרב קצנלבוגן רפאל, הרב שאולזון, אגסי שמעון, ברנט זרח",1
76,1,ירושלים,3000,934,"הרב שאולזון, הרב טייב חי, בראנד אהרון, הרב אבן דנן, הרב רבין חזקיהו",1
77,1,ירושלים,3000,1034,"הרב פרנק, הפסגה, בית וגן, מרום ציון, החיד""א",1
78,1,ירושלים,3000,1035,"שערי תורה, תורה ועבודה, זילברג משה, הפסגה, הרב פרנק",1
79,1,מודיעין עילית,3797,2,"חזון אי""ש, אבי עזרי, קהילות יעקב",1
80,1,מודיעין עילית,3797,3,"נתיבות המשפט, מסילת ישרים, דרך קרית ספר",1
81,1,מודיעין עילית,3797,4,"חפץ חיים, מסילת יוסף, מסילת ישרים, מרומי שדה, נתיבות המשפט",1
82,1,מודיעין עילית,3797,5,"שער המלך, שדי חמד, חפץ חיים, אור החיים, אבני נזר",1
83,1,מודיעין עילית,3797,6,"משך חכמה, דרך קרית ספר, אבני נזר, נודע ביהודה",1
84,1,מודיעין עילית,3797,7,"שדרות יחזקאל, רבי שמעון בר יוחא, רבי יהודה הנשיא, רב ושמואל, משעול רבי טרפון",1
85,1,מודיעין עילית,3797,8,"רבי עקיבא, רב ושמואל, רבי יהודה הנשיא",1
86,1,מודיעין עילית,3797,9,"חפץ חיים, מסילות יוסף, קצות החושן, מסילת ישרים, נתיבות משפט",1
87,1,מודיעין עילית,3797,10,"ריטב""א, נתיבות שלום",1
88,1,מתתיהו,3648,0,,1
