רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
" לפי תוצאות הבחירות לכנסת ה-20, שנערכו בשנת 2015",,,,,,
מס',רמת הומוגניות חרדית ,שם יישוב,סמל יישוב,סמל אזור סטטיסטי,פירוט גאוגרפי,רמה מקובצת של הומוגניות חרדית - בחירות 13
251,12,טבריה,6700,34,"שרת משה, אלפסי, הרב עוזיאל, הרב קוק, סיני",12
252,12,טלמון,3788,0,,.
253,12,יבנאל,46,0,,12
254,12,יבנה,2660,6,"העצמאות, הרב אבוחצירה, שבזי, דרך חג'ג' אהרון, שד דואני",12
255,12,יד בנימין,577,0,,.
256,12,יושיביה,803,0,,.
257,12,יערה,795,0,,12
258,12,ירושלים,3000,811,"דוד המלך,ממילא,קריב יצחק,שלמה המלך",.
259,12,ירושלים,3000,1015,"פרבשטיין, שד הרצל, הרב קוסובסקי, שד המאירי, קרת משה",11
260,12,ירושלים,3000,1124,"בורוכוב,זנגויל,קליינמן,רבינוביץ אהרון",.
261,12,ירושלים,3000,1631,"הרוזמרין,ורדינון,הצוף,המור, האפרסמון",.
262,12,ירושלים,3000,2514,הרובע הנוצרי,.
263,12,ישעי,805,0,,12
264,12,כוכב השחר,3564,0,,.
265,12,כסלון,859,0,,12
266,12,כפר תפוח,3572,0,,.
267,12,כרם יבנה (ישיבה),1094,0,,11
268,12,לוד,7000,42,"אינשטיין, בן חקון, חטיבת יפתח, יוספטל גיורא, שלמה המלך",12
269,12,מבוא חורון,3709,0,,.
270,12,מבוא מודיעים,1141,0,,.
271,12,מגדל העמק,874,3,"רמת יזרעאל, הרב בוסקילה רפאל, הדובדבן, החורש, הגפן",12
272,12,מעגלים,1082,0,,.
273,12,מעלה לבונה,3752,0,,.
274,12,מצפה יריחו,3576,0,,.
275,12,נצר חזני,1372,0,,.
276,12,נתיבות,246,1,"הרב אלנקוה, ירושלים, הרב אבוחצירא, מסעוד אלפסי, כלפון הכהן",12
277,12,נתיבות,246,4,"בעלי מלאכה, העצמאות, ירושלים, הרב בר אילן, ורדימון יצחק",12
278,12,נתיבות,246,6,"יובל, חזני, ירושלים, שד ויצמן, הכותל",12
279,12,נתניה,7400,333,"שפירא אברהם, שד בנימין, פתח תקוה, יהודה הלוי, לבונטין",12
280,12,נתניה,7400,343,"יהודה הלוי,שד בנימין,פתח תקוה,בן אליעזר",.
281,12,נתניה,7400,351,"גבע, אפרים, מורדי הגטאות, ניל""י, פתח תקוה",12
282,12,נתניה,7400,352,"אבן עזרא, הגר""א, האר""י, פתח תקוה, שד בן צבי",12
283,12,עוזה,826,0,,12
284,12,עלי,3765,0,,.
285,12,ענב,3712,0,,.
286,12,פטיש,749,0,,12
287,12,"פעמי תש""ז",2059,0,,12
288,12,פקיעין חדשה,281,0,,.
289,12,פתח תקווה,7900,511,"תורה ועבודה, שמואל הנגיד,בר יוחאי,ראש העין,הנח""ל",.
290,12,פתח תקווה,7900,512,"הגר""א, רבי עקיבא, הנח""ל, גרין יונה, הרב הרצוג",12
291,12,פתח תקווה,7900,522,"רבי יהודה הנשיא, ירושלים, חסדי שמעון, הרב עטיה עזרא, דרך בגין מנחם",12
292,12,צפת,8000,3,"ז'בוטינסקי זאב, העצמאות, הפלמ""ח, ירושלים, עליה ב",12
293,12,צפת,8000,7,"ויצמן, לוחמי הגטאות, אצ""ל, רמז דוד, יפה נוף",12
294,12,קרית ארבע,3611,0,,.
295,12,קרית מלאכי,1034,4,"הוורדים,הציפורן,השושנים,ז'בוטינסקי,כלנית",.
296,12,קרית מלאכי,1034,5,"שד בן גוריון, בר יהודה, המ""ג, הרצל, ז'בוטינסקי",12
297,12,ראש העין,2640,3,"בן נון יהושוע,וולפסון,מרבד הקסמים,אבן עזרא",.
298,12,שבי שומרון,3571,0,,.
299,12,שדות מיכה,27,0,,12
300,12,שילה,3641,0,,.
301,12,שלווה,873,0,,12
302,12,שעלבים,856,0,,.
303,12,שרשרת,398,0,,12
304,12,תושיה,1083,0,,.
305,12,תירוש,10,0,,.
306,12,תל אביב - יפו,5000,743,"אהלי יעקב, גרינבוים, גרוסמן מאיר, דרך בן צבי, צונץ",12
307,12,תל אביב - יפו,5000,744,"גרוסמן מאיר, הלוחמים, דרך בן צבי, דרך יגאל ידין, תל גבורים",12
308,12,תל אביב - יפו,5000,823,"גולומב, קבוץ גלויות, חיל השריון, דרך ההגנה, ישראל מסלנט",12
309,12,תל אביב - יפו,5000,824,"מאור הגולה, מסילת ישרים, שד חכמי ישראל, קבוץ גלויות, חכמי לובלין",12
310,12,תל אביב - יפו,5000,833,"קבוץ גלויות, גורי ישראל, קפלנסקי, דרך בן צבי, חיל השריון",12
311,12,תל אביב - יפו,5000,932,"מושיע, אצ""ל, ותיק, דרך ההגנה, ורד",12
312,12,תל אביב - יפו,5000,933,"בועז, קלמן, איתיאל, לח""י, אצ""ל",12
313,12,תל אביב - יפו,5000,936,"שתולים, לח""י, חירותנו, תשרי, נתיבות",12
314,12,תלם,3719,0,,.
315,12,תלמים,814,0,,12
